boundary_id,privacy,delta_l0_mean,delta_l0_std_seed,delta_l0_ci95_low,delta_l0_ci95_high,seed_count
loose,committed,0.0,0.0,0.0,0.0,10
medium,committed,7.513,0.0935473736195255,7.455018737126168,7.570981262873832,10
tight,committed,73.551,0.5471989278741931,73.21184259072422,73.89015740927579,10
loose,transparent,0.0,0.0,0.0,0.0,10
medium,transparent,7.531,0.0370285175386635,7.508049487054873,7.553950512945127,10
tight,transparent,73.4935,0.1645541113298464,73.39150830513114,73.59549169486885,10
